epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.493,1.59506,2.2078,1.45886,0.58546,0.52977,0.52544,0.27159,1.68088,1.80298,1.43091,0.000331978,0.000331978,0.0671341
2,273.172,1.57252,1.68861,1.45879,0.76507,0.65544,0.73274,0.40486,1.44532,1.37544,1.28874,0.000662018,0.000662018,0.0341309
3,352.655,1.53139,1.54668,1.43054,0.75722,0.63773,0.70409,0.36625,1.51284,1.31478,1.31369,0.000988758,0.000988758,0.00112426
4,413.735,1.54002,1.53831,1.43749,0.72564,0.68738,0.74667,0.43599,1.40394,1.35155,1.23754,0.00098515,0.00098515,0.00098515
5,472.416,1.50436,1.44318,1.39183,0.79843,0.72883,0.78519,0.42896,1.40815,1.20867,1.19975,0.0009802,0.0009802,0.0009802
6,529.889,1.4586,1.37472,1.36779,0.86768,0.75475,0.81935,0.4605,1.39046,0.97844,1.16984,0.00097525,0.00097525,0.00097525
7,589.239,1.42594,1.31298,1.33643,0.84895,0.76314,0.80795,0.50143,1.22277,0.94897,1.12373,0.0009703,0.0009703,0.0009703
8,646.853,1.41998,1.27053,1.32835,0.8583,0.78853,0.84841,0.50096,1.33696,0.89272,1.13917,0.00096535,0.00096535,0.00096535
9,704.799,1.40526,1.2425,1.31765,0.87115,0.79556,0.84822,0.5281,1.2147,0.85654,1.09809,0.0009604,0.0009604,0.0009604
10,763.745,1.37299,1.18957,1.29449,0.89373,0.81234,0.87104,0.5471,1.20526,0.77468,1.0918,0.00095545,0.00095545,0.00095545
11,821.081,1.37119,1.17682,1.28695,0.88252,0.81276,0.87241,0.55318,1.20831,0.79762,1.08086,0.0009505,0.0009505,0.0009505
12,878.821,1.34498,1.15625,1.27781,0.90634,0.80159,0.86552,0.5651,1.13032,0.75492,1.05525,0.00094555,0.00094555,0.00094555
13,935.173,1.34568,1.1499,1.27419,0.90506,0.80378,0.87873,0.58553,1.07026,0.72391,1.04605,0.0009406,0.0009406,0.0009406
14,991.486,1.31999,1.12028,1.27131,0.90381,0.81859,0.86899,0.58021,1.05597,0.7269,1.04903,0.00093565,0.00093565,0.00093565
15,1046.47,1.29795,1.07772,1.24281,0.87921,0.82719,0.87973,0.60571,0.99572,0.70062,1.00658,0.0009307,0.0009307,0.0009307
16,1101.05,1.30003,1.08349,1.24975,0.90761,0.8366,0.87609,0.61704,0.95397,0.69853,0.9989,0.00092575,0.00092575,0.00092575
17,1157.87,1.28994,1.06631,1.24643,0.90612,0.84561,0.89978,0.61123,1.00556,0.67011,1.01039,0.0009208,0.0009208,0.0009208
18,1213.61,1.2836,1.05152,1.23502,0.92157,0.82926,0.89039,0.62339,0.96162,0.68552,1.00987,0.00091585,0.00091585,0.00091585
19,1267.77,1.26813,1.0344,1.22686,0.88499,0.8337,0.8867,0.62035,0.93548,0.68064,0.99381,0.0009109,0.0009109,0.0009109
20,1323.29,1.26112,1.00977,1.21991,0.91813,0.82919,0.89206,0.61398,1.02321,0.66167,1.01481,0.00090595,0.00090595,0.00090595
21,1379.2,1.24854,0.99806,1.20933,0.91651,0.84151,0.89667,0.63058,0.92383,0.64143,0.9785,0.000901,0.000901,0.000901
22,1434.6,1.24709,1.00284,1.21293,0.91713,0.83642,0.89585,0.63678,0.89377,0.61031,0.98155,0.00089605,0.00089605,0.00089605
23,1490.47,1.2272,0.97721,1.20057,0.91603,0.82765,0.89301,0.6381,0.89432,0.63618,0.97984,0.0008911,0.0008911,0.0008911
24,1546.59,1.2333,0.96862,1.20556,0.92559,0.8458,0.89846,0.63853,0.94158,0.60004,0.98842,0.00088615,0.00088615,0.00088615
25,1602.71,1.23735,0.97973,1.20498,0.93867,0.8421,0.90559,0.65508,0.8842,0.59196,0.96221,0.0008812,0.0008812,0.0008812
26,1657.47,1.21704,0.94655,1.19848,0.92563,0.82913,0.88518,0.63635,0.91057,0.59759,0.96596,0.00087625,0.00087625,0.00087625
27,1713.1,1.21001,0.93966,1.18574,0.92432,0.851,0.90786,0.66371,0.85717,0.58469,0.95069,0.0008713,0.0008713,0.0008713
28,1769.43,1.19328,0.92954,1.18219,0.93367,0.84969,0.90994,0.65668,0.8767,0.61348,0.96605,0.00086635,0.00086635,0.00086635
29,1825.03,1.20259,0.93925,1.18766,0.9085,0.86043,0.90528,0.6673,0.8516,0.56971,0.95206,0.0008614,0.0008614,0.0008614
30,1880.07,1.19644,0.93206,1.17907,0.92971,0.85948,0.91573,0.66765,0.85986,0.56986,0.95635,0.00085645,0.00085645,0.00085645
31,1936.21,1.17583,0.909,1.16755,0.91559,0.85756,0.90915,0.66622,0.85015,0.56595,0.95707,0.0008515,0.0008515,0.0008515
32,1993.77,1.18782,0.91072,1.17699,0.93986,0.86694,0.91843,0.67286,0.8453,0.57426,0.94456,0.00084655,0.00084655,0.00084655
33,2051.3,1.17893,0.90775,1.17078,0.94031,0.87559,0.92544,0.67906,0.84083,0.54159,0.95261,0.0008416,0.0008416,0.0008416
34,2107.19,1.18307,0.90301,1.17238,0.91932,0.85813,0.90574,0.67098,0.83238,0.55799,0.93868,0.00083665,0.00083665,0.00083665
35,2163.73,1.16833,0.89124,1.16385,0.94304,0.86716,0.92187,0.6842,0.80747,0.51263,0.92813,0.0008317,0.0008317,0.0008317
36,2220.57,1.16503,0.87622,1.15892,0.94688,0.85941,0.91435,0.68301,0.82199,0.54624,0.94323,0.00082675,0.00082675,0.00082675
37,2276.61,1.16683,0.8842,1.15874,0.91727,0.87617,0.91458,0.68631,0.79624,0.52639,0.93721,0.0008218,0.0008218,0.0008218
38,2332.6,1.16474,0.87972,1.1564,0.93812,0.87496,0.92173,0.68756,0.80784,0.5218,0.93725,0.00081685,0.00081685,0.00081685
39,2389.06,1.15418,0.88631,1.15533,0.94781,0.87332,0.92506,0.6887,0.80704,0.51104,0.9344,0.0008119,0.0008119,0.0008119
40,2446.14,1.15254,0.88332,1.15213,0.95342,0.86725,0.9298,0.69282,0.81424,0.52535,0.94839,0.00080695,0.00080695,0.00080695
41,2501.24,1.15959,0.87179,1.15879,0.9665,0.87813,0.93125,0.69721,0.79559,0.49462,0.92989,0.000802,0.000802,0.000802
42,2557.45,1.1627,0.87981,1.16091,0.95314,0.88545,0.93431,0.69726,0.79457,0.49016,0.92856,0.00079705,0.00079705,0.00079705
43,2615.17,1.15627,0.84719,1.15285,0.95124,0.87695,0.93181,0.69831,0.7926,0.49947,0.93311,0.0007921,0.0007921,0.0007921
44,2670.76,1.14884,0.84951,1.14665,0.94358,0.89442,0.93853,0.69774,0.78018,0.48804,0.91548,0.00078715,0.00078715,0.00078715
